Aaron Brooks,5,1.9,0.4,0.1,1.1
Aaron Gordon,12.7,1.9,0.8,0.5,5.1
Al Horford,14,5,0.8,1.3,6.8
Al Jefferson,8.1,0.9,0.3,0.2,4.2
Alex Abrines,6,0.6,0.5,0.1,1.3
Alex Len,8,0.6,0.5,1.3,6.6
Al-Farouq Aminu,8.7,1.6,1,0.7,7.4
Allen Crabbe,10.7,1.2,0.7,0.3,2.9
Amir Johnson,6.5,1.8,0.6,0.8,4.6
Andre Drummond,13.6,1.1,1.5,1.1,13.8
Andre Iguodala,7.6,3.4,1,0.5,4
Andre Roberson,6.6,1,1.2,1,5.1
Andrew Harrison,5.9,2.8,0.7,0.3,1.9
Andrew Wiggins,23.6,2.3,1,0.4,4
Anthony Davis,28,2.1,1.3,2.2,11.8
Anthony Tolliver,7.1,1.2,0.5,0.3,3.6
Aron Baynes,4.9,0.4,0.2,0.5,4.4
Arron Afflalo,8.4,1.3,0.3,0.1,2
Austin Rivers,12,2.8,0.7,0.1,2.2
Ben McLemore,8.1,0.8,0.5,0.1,2.1
Bismack Biyombo,6,0.9,0.3,1.1,7
Blake Griffin,21.6,4.9,0.9,0.4,8.1
Bobby Portis,6.8,0.5,0.3,0.2,4.6
Bojan Bogdanovic,13.7,1.4,0.4,0.1,3.4
Boris Diaw,4.6,2.3,0.3,0.1,2.2
Bradley Beal,23.1,3.5,1.1,0.3,3.1
Brandon Ingram,9.4,2.1,0.6,0.5,4
Brandon Jennings,7.1,4.9,0.9,0.1,2.4
Brook Lopez,20.5,2.3,0.5,1.6,5.4
Buddy Hield,10.6,1.5,0.5,0.1,3.3
C.J. Watson,4.5,1.8,0.7,0,1.4
Carmelo Anthony,22.4,2.9,0.8,0.5,5.9
Channing Frye,9.1,0.6,0.5,0.5,3.9
Chris Paul,18.1,9.2,1.9,0.1,5
CJ McCollum,23,3.6,0.9,0.5,3.6
CJ Miles,10.7,0.6,0.6,0.3,3
Clint Capela,12.6,1,0.5,1.2,8.1
Cody Zeller,10.3,1.6,1,0.9,6.5
Cole Aldrich,1.7,0.4,0.4,0.4,2.5
Corey Brewer,4.5,1.2,0.7,0.2,2
Cory Joseph,9.3,3.3,0.8,0.2,2.9
Courtney Lee,10.8,2.3,1.1,0.3,3.4
Cristiano Felicio,4.8,0.6,0.4,0.3,4.7
D.J. Augustin,7.9,2.7,0.4,0,1.5
Damian Lillard,27,5.9,0.9,0.3,4.9
D'Angelo Russell,15.6,4.8,1.4,0.3,3.5
Danilo Gallinari,18.2,2.1,0.6,0.2,5.2
Danny Green,7.3,1.8,1,0.8,3.3
Dante Cunningham,6.6,0.6,0.6,0.4,4.2
Dante Exum,6.2,1.7,0.3,0.2,2
Dario Saric,12.8,2.2,0.7,0.4,6.3
Darren Collison,13.2,4.6,1,0.1,2.2
David Lee,7.3,1.6,0.4,0.5,5.6
David West,4.6,2.2,0.6,0.7,3
Davis Bertans,4.5,0.7,0.3,0.4,1.5
DeAndre Jordan,12.7,1.2,0.6,1.6,13.8
DeAndre Liggins,2.5,0.9,0.8,0.2,1.7
DeMar DeRozan,27.3,3.9,1.1,0.2,5.2
DeMarcus Cousins,27,4.6,1.4,1.3,11
DeMarre Carroll,8.9,1,1.1,0.4,3.8
Dennis Schroder,17.9,6.3,0.9,0.2,3.1
Deron Williams,11,5.6,0.5,0.1,2.3
Derrick Rose,18,4.4,0.7,0.3,3.8
Devin Booker,22.1,3.4,0.9,0.3,3.2
Devin Harris,6.7,2.1,0.7,0.1,2
Dewayne Dedmon,5.1,0.6,0.5,0.8,6.5
Domantas Sabonis,5.9,1,0.5,0.4,3.6
Dorian Finney-Smith,4.3,0.8,0.6,0.3,2.7
Doug McDermott,9,0.9,0.2,0.1,2.7
Draymond Green,10.2,7,2,1.4,7.9
Dwight Howard,13.5,1.4,0.9,1.2,12.7
Dwight Powell,6.7,0.6,0.8,0.5,4
Dwyane Wade,18.3,3.8,1.4,0.7,4.5
Elfrid Payton,12.8,6.5,1.1,0.5,4.7
Enes Kanter,14.3,0.9,0.4,0.5,6.7
Eric Bledsoe,21.1,6.3,1.4,0.5,4.8
Eric Gordon,16.2,2.5,0.6,0.6,2.7
Ersan Ilyasova,13.1,1.7,0.7,0.3,5.9
E'Twaun Moore,9.6,2.2,0.7,0.4,2.1
Evan Fournier,17.2,3,1,0.1,3.1
Evan Turner,9,3.2,0.8,0.4,3.8
Frank Kaminsky,11.7,2.2,0.6,0.5,4.5
Garrett Temple,7.8,2.6,1.3,0.4,2.8
Gerald Henderson,9.2,1.6,0.6,0.2,2.6
Giannis Antetokounmpo,22.9,5.4,1.6,1.9,8.8
Glenn Robinson III,6.1,0.7,0.6,0.3,3.6
Goran Dragic,20.3,5.8,1.2,0.2,3.8
Gordon Hayward,21.9,3.5,1,0.3,5.4
Gorgui Dieng,10,1.9,1.1,1.2,7.9
Greg Monroe,11.7,2.3,1.1,0.5,6.6
Harrison Barnes,19.2,1.5,0.8,0.2,5
Hassan Whiteside,17,0.7,0.7,2.1,14.1
Ian Clark,6.8,1.2,0.5,0.1,1.6
Iman Shumpert,7.5,1.4,0.8,0.4,2.9
Isaiah Thomas,28.9,5.9,0.9,0.2,2.7
Isaiah Whitehead,7.4,2.6,0.6,0.5,2.5
Ish Smith,9.4,5.2,0.8,0.4,2.9
Jae Crowder,13.9,2.2,1,0.3,5.8
Jamal Crawford,12.3,2.6,0.7,0.2,1.6
Jamal Murray,9.9,2.1,0.6,0.3,2.6
Jameer Nelson,9.2,5.1,0.7,0.1,2.6
James Ennis III,6.7,1,0.7,0.3,4
James Harden,29.1,11.2,1.5,0.5,8.1
